Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
28,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(14.364 + ((-12.202) * ((((-0.330) * X1) - 1.312) / ((((((-0.892) * X1) * 0.196) - (-0.576)) + (-1.224)) / 0.581)))),(0.295692578313253*X1 + 0.0114097349397611)/(0.300915662650602*X1 + 1.11531841652324),2.6591485613927688e-05,-3.948979960010959,3.7998313903808594
0,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(1.061 + ((-0.230) * (exp((((-0.148) * X1) - (-0.641))) + exp(exp(((-0.328) * X1)))))),-0.23*exp(exp(-0.328*X1)) + 1.061 - 0.436627011010397*exp(-0.148*X1),2.659221568214136e-05,-3.948979960010959,4.510685682296753
19,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(1.631 + ((-0.828) * (exp(exp(((-0.223) * X1))) - (exp(((-0.379) * X1)) * exp((-0.288)))))),-0.828*exp(exp(-0.223*X1)) + 1.631 + 0.620802598373926*exp(-0.379*X1),3.892644620808358e-05,-3.948979960010959,4.237122297286987
8,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(1.254 + ((-0.461) * (exp((((-0.218) * X1) / exp(((0.599 * X1) - (-1.966))))) * exp(exp(((-0.186) * X1)))))),1.254 - 0.461*exp(-0.0305234445708661*X1*exp(-0.599*X1) + exp(-0.186*X1)),4.605771031276879e-05,-3.948979960010959,4.803573846817017
18,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.177 + ((-3.138) * ((exp(((-0.171) * X1)) - (1.056 / exp((0.240 * X1)))) * (((-0.171) * X1) - exp(((-0.222) * X1)))))),-0.566647488*X1*exp(-0.24*X1) + 0.536598*X1*exp(-0.171*X1) + 0.177 - 3.313728*exp(-0.462*X1) + 3.138*exp(-0.393*X1),4.71411283800235e-05,-3.948979960010959,4.727253437042236
1,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.833 + ((-0.614) * (exp((((-0.712) * X1) - 1.037)) + exp((((-0.184) * X1) / 1.036))))),0.833 - 0.217673215819474*exp(-0.712*X1) - 0.614*exp(-0.177606177606178*X1),5.222350415209829e-05,-3.948979960010959,3.8259849548339844
3,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(1.283 + ((-0.472) * (exp(exp(((-0.258) * X1))) + (exp(((-0.258) * X1)) * (0.133 * X1))))),-0.062776*X1*exp(-0.258*X1) - 0.472*exp(exp(-0.258*X1)) + 1.283,5.6853772389691966e-05,-3.948979960010959,3.9515340328216553
22,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",((-0.001) + ((-0.003) * (((((-1.284) / 0.059) - ((-0.717) * X1)) * ((1.443 * X1) - (-0.015))) * exp(exp(((-0.210) * X1)))))),-0.003*(0.717*X1 - 21.7627118644068)*(1.443*X1 + 0.015)*exp(exp(-0.21*X1)) - 0.001,6.195428591537331e-05,-3.948979960010959,4.473541736602783
24,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(1.183 + ((-0.435) * ((((0.231 * X1) * ((-0.940) * X1)) * (((-0.066) * X1) * exp(((-0.965) * X1)))) + exp(exp(((-0.223) * X1)))))),-0.0062340894*X1**3*exp(-0.965*X1) - 0.435*exp(exp(-0.223*X1)) + 1.183,6.513575373675586e-05,-3.948979960010959,4.891142845153809
11,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.318 + (0.959 * ((exp((0.115 * (-1.120))) - exp(((-0.075) * X1))) * exp(exp(((-0.215) * X1)))))),-0.959*exp(-0.075*X1 + exp(-0.215*X1)) + 0.84310463702465*exp(exp(-0.215*X1)) + 0.318,6.816521773608155e-05,-3.948979960010959,4.807718276977539
6,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.864 + ((-0.429) * (exp(exp((((0.909 * X1) - exp((1.098 * X1))) / 0.213))) + (exp(((-0.514) * X1)) + ((-0.081) * X1))))),0.034749*X1 - 0.429*exp(exp(4.26760563380282*X1 - 4.69483568075117*exp(1.098*X1))) + 0.864 - 0.429*exp(-0.514*X1),7.654303281698286e-05,-3.948979960010959,6.134459733963013
25,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.759 + ((-0.203) * (exp(exp(((-0.204) * X1))) + (exp(((-0.610) * X1)) - (((-0.070) * X1) * (-1.679)))))),0.02385859*X1 - 0.203*exp(exp(-0.204*X1)) + 0.759 - 0.203*exp(-0.61*X1),8.040399833882801e-05,-3.948979960010959,4.679165601730347
17,x1 / (x1 + 3.7),"add,sub,mul,div,exp,constant,variable",(0.754 + (0.121 * ((((-0.952) + ((-0.000) / ((-0.667) * X1))) * (2.409 + ((-0.250) * X1))) * exp(exp(((-0.250) * X1)))))),(0.028798*X1 - 0.277497528)*exp(exp(-0.25*X1)) + 0.754,8.528132510134569e-05,-3.948979960010959,4.684243679046631
