Numero_iteracion,Funcion,Original,Simplificado,RMSE,R2,tiempo
27,x1*y1+x2*y2+x3*y3,(9.309 + ((-0.056) * ((((1.137 * X2) - ((-1.130) * X5)) - (-0.387)) * (((0.706 * X1) + (0.707 * X3)) * (((-1.732) * X4) + ((-1.706) * X6)))))),0.056*(0.706*X1 + 0.707*X3)*(1.732*X4 + 1.706*X6)*(1.137*X2 + 1.13*X5 + 0.387) + 9.309,2.3067734187621665,,50.85663342475891
14,x1*y1+x2*y2+x3*y3,(9.612 + (0.147 * ((((1.417 * X6) + (1.497 * X3)) * ((1.429 * X1) + (1.413 * X5))) * ((0.015 * X6) + ((0.256 * X2) + (0.257 * X4)))))),0.147*(1.429*X1 + 1.413*X5)*(1.497*X3 + 1.417*X6)*(0.256*X2 + 0.257*X4 + 0.015*X6) + 9.612,2.310018932235756,,58.61249232292175
17,x1*y1+x2*y2+x3*y3,(9.801 + (0.823 * ((((0.680 * X4) - ((-0.679) * X5)) - ((-0.046) * X1)) * ((((-0.585) * X2) * ((-0.462) * X1)) + ((0.644 * X3) * (0.434 * X6)))))),0.823*(0.27027*X1*X2 + 0.279496*X3*X6)*(0.046*X1 + 0.68*X4 + 0.679*X5) + 9.801,2.3122155266410447,,59.06187200546265
10,x1*y1+x2*y2+x3*y3,(9.801 + (0.719 * ((((0.607 * X2) * (0.246 * X1)) - ((2.329 * X6) * ((-0.066) * X3))) * (((1.408 * X5) + (0.095 * X1)) + (1.410 * X4))))),0.719*(0.149322*X1*X2 + 0.153714*X3*X6)*(0.095*X1 + 1.41*X4 + 1.408*X5) + 9.801,2.31223053903819,,53.3836452960968
26,x1*y1+x2*y2+x3*y3,(9.345 + ((-0.135) * (((((-0.572) * X6) + ((-0.577) * X4)) * (((-0.597) * X5) - (0.602 * X1))) * ((((-1.675) * X3) + (-0.517)) + ((-1.670) * X2))))),0.135*(0.602*X1 + 0.597*X5)*(0.577*X4 + 0.572*X6)*(1.67*X2 + 1.675*X3 + 0.517) + 9.345,2.3139489804483873,,51.60024905204773
22,x1*y1+x2*y2+x3*y3,(9.344 + ((-0.154) * ((0.200 - (((-0.643) * X2) - (0.645 * X3))) * (((1.763 * X5) - ((-1.777) * X1)) * (((-0.447) * X4) - (0.443 * X6)))))),0.154*(1.777*X1 + 1.763*X5)*(0.447*X4 + 0.443*X6)*(0.643*X2 + 0.645*X3 + 0.2) + 9.344,2.3139499143853293,,50.710448026657104
6,x1*y1+x2*y2+x3*y3,(9.627 + ((-0.232) * (((((-0.919) * X5) + ((-0.928) * X3)) + ((-0.071) * X1)) * (((1.299 * X6) - ((-1.314) * X2)) * ((0.268 * X1) - ((-0.284) * X4)))))),0.232*(0.268*X1 + 0.284*X4)*(1.314*X2 + 1.299*X6)*(0.071*X1 + 0.928*X3 + 0.919*X5) + 9.627,2.3180691915609053,,57.74849009513855
4,x1*y1+x2*y2+x3*y3,(9.651 + (0.527 * (((((-0.453) * X1) - (0.448 * X5)) * ((2.112 * X2) + (2.119 * X3))) * (((-0.161) * X4) + ((-0.159) * X6))))),0.527*(0.453*X1 + 0.448*X5)*(2.112*X2 + 2.119*X3)*(0.161*X4 + 0.159*X6) + 9.651,2.321467047018178,,51.57672142982483
8,x1*y1+x2*y2+x3*y3,(0.897 + ((-1.202) * (((((-1.531) * X6) * (0.541 * X5)) - (2.498 * X3)) + (((0.224 * X1) * (3.391 * X2)) * ((-0.330) * X4))))),0.30129658944*X1*X2*X4 + 3.002596*X3 + 0.995581742*X5*X6 + 0.897,2.3254139076017317,,48.709810972213745
28,x1*y1+x2*y2+x3*y3,(9.697 + ((-0.776) * (((0.684 * X5) - (sin((1.015 * X3)) + ((-0.696) * X1))) * ((((-0.667) * X4) * (0.434 * X6)) - (0.949 * X2))))),(0.736424*X2 + 0.224634928*X4*X6)*(0.696*X1 + 0.684*X5 - sin(1.015*X3)) + 9.697,2.530839604387991,,61.880080461502075
1,x1*y1+x2*y2+x3*y3,(10.249 + (4.344 * ((((-0.105) * X4) * ((-2.183) * X3)) + (((0.230 * X1) * (0.434 * X2)) * ((0.510 * X5) * (0.434 * X6)))))),0.0959770258272*X1*X2*X5*X6 + 0.99570996*X3*X4 + 10.249,2.6515422812721443,,50.305561542510986
15,x1*y1+x2*y2+x3*y3,(6.788 + (3.241 * (((((-0.751) * X4) - (1.776 * X5)) * (((-0.096) * X2) * (0.434 * X1))) + ((0.068 * X3) * ((2.493 * X4) + (3.066 * X6)))))),0.135033024*X1*X2*(0.751*X4 + 1.776*X5) + 0.220388*X3*(2.493*X4 + 3.066*X6) + 6.788,2.871971817185641,,56.44103288650513
19,x1*y1+x2*y2+x3*y3,(6.803 + ((-1.731) * ((((0.224 * X5) + (0.529 * X1)) * (((-0.179) * X3) * (1.472 * X4))) + (((0.391 * X5) + (0.490 * X2)) * ((-0.798) * X6))))),0.456097728*X3*X4*(0.529*X1 + 0.224*X5) + 1.381338*X6*(0.49*X2 + 0.391*X5) + 6.803,2.9011482040356085,,61.91700744628906
