Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
20,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.295) * (((0.959 + ((-0.316) * X5)) ^ 2) + ((0.957 + ((-0.316) * X3)) ^ 2)))),-0.270175455*(0.330198537095089*X3 - 1)**2 - 0.271305895*(0.329509906152242*X5 - 1)**2 + 0.728,0.15555546276942664,,4.999364137649536
0,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.057) * ((((-2.177) + (0.718 * X3)) ^ 2) + (((-2.177) + (0.717 * X5)) ^ 2)))),-0.270141753*(0.329811667432246*X3 - 1)**2 - 0.270141753*(0.329352319706017*X5 - 1)**2 + 0.728,0.15555631928038147,,5.426361799240112
23,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.263) * ((((-1.014) - ((-0.335) * X3)) ^ 2) + (((-1.015) - ((-0.335) * X5)) ^ 2)))),-0.270415548*(0.330374753451677*X3 - 1)**2 - 0.270949175*(0.330049261083744*X5 - 1)**2 + 0.728,0.1555569234564831,,5.094098091125488
10,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.156) * (((1.316 - (0.434 * X3)) ^ 2) + ((1.317 - (0.434 * X5)) ^ 2)))),-0.270169536*(0.329787234042553*X3 - 1)**2 - 0.270580284*(0.32953682611997*X5 - 1)**2 + 0.728,0.1555572555505129,,5.288265228271484
3,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.754) * (((0.600 + ((-0.198) * X5)) ^ 2) + ((0.599 + ((-0.198) * X3)) ^ 2)))),-0.270535954*(0.330550918196995*X3 - 1)**2 - 0.27144*(0.33*X5 - 1)**2 + 0.728,0.15555817691049056,,5.257761716842651
17,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.728 + ((-0.372) * ((((-0.853) - ((-0.281) * X5)) ^ 2) + (((-0.853) - ((-0.281) * X3)) ^ 2)))),-0.270670548*(0.329425556858148*X3 - 1)**2 - 0.270670548*(0.329425556858148*X5 - 1)**2 + 0.728,0.15555840776334567,,5.1289637088775635
7,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.453 + ((-0.161) * ((((-1.291) + (0.427 * X3)) ^ 2) - ((1.126 * X5) - ((((0.723 * X5) * (-0.469)) / 0.788) ^ 2))))),-0.0298123163515695*X5**2 + 0.181286*X5 - 0.268335641*(0.330751355538342*X3 - 1)**2 + 0.453,0.15556883840208643,,5.512969970703125
2,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.468 + ((-0.251) * (((1.062 - (0.350 * X3)) ^ 2) - ((0.681 * X5) - ((0.335 * X5) ^ 2))))),-0.028168475*X5**2 + 0.170931*X5 - 0.283088844*(0.329566854990584*X3 - 1)**2 + 0.468,0.15559377459905688,,5.69948148727417
16,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.429 + (5.783 * ((((((0.180 * X3) ^ 2) + ((-2.569) * (0.078 * X3))) * ((-0.299) * X5)) * (((-0.299) * X5) + 1.848)) ^ 2))),0.0708952138122114*X3**2*X5**2*(0.161691169865557*X3 - 1)**2*(0.161796536796537*X5 - 1)**2 + 0.429,0.15802790583627718,,5.6814751625061035
5,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.413 + (0.686 * ((((0.277 * X5) ^ 2) + (((((0.221 * X4) + (-0.668)) * 1.049) ^ 2) + ((-0.480) * X5))) ^ 2))),0.165398633968855*(0.156262812531332*X5**2 - 0.977546299509173*X5 + (0.330838323353293*X4 - 1)**2)**2 + 0.413,0.16579445358249081,,5.043631553649902
26,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.409 + (0.571 * (((((-0.293) * X3) - (-1.769)) * ((((-0.667) - ((-0.212) * X5)) ^ 2) + ((-0.298) * X3))) ^ 2))),0.353667465175949*(0.165630299604296*X3 - 1)**2*(0.669830002539959*X3 - (0.31784107946027*X5 - 1)**2)**2 + 0.409,0.17140334027874726,,5.8388519287109375
18,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.642 + ((-0.085) * (((((-0.427) * X2) - ((((-1.323) + (-0.408)) + (0.373 * X2)) ^ 2)) * (((-0.286) * X3) - (-0.877))) ^ 2))),-0.586957131909704*(0.142506193345862*X2 + (0.215482380127094*X2 - 1)**2)**2*(0.326111744583808*X3 - 1)**2 + 0.642,0.17195522258228024,,5.432765245437622
25,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.641 + ((-0.051) * ((((((0.319 * X2) + (-0.991)) ^ 2) - (-1.181)) * (((-0.513) * X3) - (-1.571))) ^ 2))),-0.175558693993251*(0.326543602800764*X3 - 1)**2*(0.831567315834039*(0.321897073662967*X2 - 1)**2 + 1)**2 + 0.641,0.1720522022360952,,5.202651739120483
6,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.641 + ((-0.055) * (((((0.987 - (0.318 * X2)) ^ 2) - (-1.170)) * (((-0.498) * X3) - (-1.526))) ^ 2))),-0.175324851702*(0.326343381389253*X3 - 1)**2*(0.832623076923077*(0.322188449848024*X2 - 1)**2 + 1)**2 + 0.641,0.1720752476614394,,5.21916389465332
19,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.639 + ((-0.034) * ((((-2.797) - ((-0.869) * X5)) - ((((0.113 * X1) + (-0.342)) ^ 2) * ((-1.861) * X5))) ^ 2))),0.639 - 0.265989106*(0.0778226685734716*X5*(0.330409356725146*X1 - 1)**2 + 0.310690025026814*X5 - 1)**2,0.1746701296818406,,5.2562901973724365
27,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.638 + ((-0.127) * ((((0.177 * X5) - ((-0.314) * X5)) + (-1.479)) ^ 2))),0.638 - 0.277805007*(0.331981068289385*X5 - 1)**2,0.17651078322737035,,4.7749857902526855
15,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.641 + ((-0.098) * (((-1.674) + ((((((0.181 * X1) + ((-0.095) * X5)) ^ 2) ^ 2) * ((0.504 * X5) ^ 2)) - ((-0.532) * X5))) ^ 2))),0.641 - 0.274623048*(0.00016286205810271*X5**2*(X1 - 0.524861878453039*X5)**4 + 0.317801672640382*X5 - 1)**2,0.17651627296591135,,5.8432700634002686
4,10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),"add,sub,mul,square,constant,variable,div",(0.638 + ((-0.115) * ((((-0.029) * X2) + (1.638 + ((0.367 * X5) * (-1.401)))) ^ 2))),0.638 - 0.30855006*(0.0177045177045177*X2 + 0.313899267399267*X5 - 1)**2,0.1767053568446357,,4.943416357040405
