Original,R2,Modelo,RMSE
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0,(0.383 + (0.109 * ((((sin(((sin(((-1.855) * X2)) + ((-0.156) * X1)) + (-0.256))) - cos(sin((1.505 * X1)))) + (sin(sin(sin((0.318 / ((-0.853) * X2))))) + (((-0.210) * X1) + sin((1.474 * X1))))) + ((((sin((0.781 * X2)) * sin((1.505 * X1))) * (0.484 * X2)) - (-1.422)) * (sin((0.781 * X2)) * sin((1.508 * X1))))) + (sin((1.505 * X1)) * sin(((-1.679) * X2)))))),
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0,(0.014 + ((-0.132) * ((sin((2.012 * X1)) * (sin(sin(sin((sin((1.919 * X1)) - ((((-1.532) * X1) - (((-1.369) * 0.391) / ((-0.960) * X1))) * (-0.943)))))) - (-1.333))) * ((sin(sin(((sin((0.434 * X1)) - cos((0.936 * X1))) - sin(cos(((0.831 * X1) + 0.707)))))) - (-1.369)) + sin((0.434 * X1)))))),
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.8102810220498797,((-0.003) + (1.700 * (((sin((1.984 * X1)) * (((cos((((-0.355) * X2) + (0.318 * X1))) - (0.375 * X2)) + cos(sin(((-3.455) * X2)))) + cos(sin(((-3.433) * X2))))) * sin(((-0.468) * X1))) * sin(((-0.411) * X1))))),1.4650376275935544
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.8629323737691439,(0.635 + ((-0.098) * (((cos(((-1.066) * X2)) + (cos(((-1.002) * X1)) * sin(sin((0.542 * X4))))) + (((cos(((-1.040) * X5)) + cos(((-1.029) * X3))) + cos(((sin(((-0.545) * X3)) + cos(((-1.044) * X4))) + (cos(((-1.002) * X5)) * sin((0.517 * X2)))))) + ((cos(((-1.058) * X1)) + cos(((-1.044) * X4))) * sin((0.517 * X2))))) + ((cos(sin(sin(((-0.988) * X5)))) / cos(cos(((-1.044) * X4)))) - cos(cos(((-1.040) * X2))))))),0.2590899637510784
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.9325859361535367,(0.006 + (4.052 * (((((cos(cos(cos((1.772 * X1)))) * cos((1.625 * X1))) / sin(0.475)) + ((cos((0.979 * X3)) * cos((1.826 * X1))) * ((-0.469) * (0.707 * X3)))) / (((-1.136) * X2) / cos(((-1.603) * X3)))) / ((2.853 * X2) + cos((((cos((1.304 * X3)) * cos((1.652 * X1))) * cos((1.652 * X1))) * ((cos(((-1.603) * X1)) / (0.731 * cos((1.826 * X1)))) / ((-0.740) * cos(((-2.077) * X1)))))))))),1.181033652950498
6 * sin(x1) * cos(x2),0.499823036383648,(0.472 + (3.452 * ((((sin(((1.335 * X2) - ((-0.722) * X1))) - ((-0.163) * sin((2.036 * X1)))) - ((-0.349) * sin((sin(((1.319 * X2) - ((-0.744) * X1))) / (cos(((-0.744) * X2)) / cos((1.414 * X2))))))) - ((-0.358) * sin(((1.358 * X2) - (cos(((-0.722) * X1)) / sin(cos(((-1.720) * X2)))))))) - ((-0.358) * sin(((sin((1.292 - (2.150 * X2))) * 1.298) / sin(((1.319 * X2) - ((-0.744) * X1))))))))),4.2995496883355635
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9942974218336507,(1.828 + (1.847 * (((1.508 * X1) * (cos((0.387 * X2)) * sin((0.862 * X1)))) - (((sin(sin(sin((0.434 * X1)))) * ((0.318 * X1) * (sin((0.837 * X1)) * ((0.318 * X1) * sin((0.754 * X2)))))) - ((sin((0.862 * X1)) + ((cos((0.475 * X1)) * cos((0.387 * X2))) + ((0.194 * X2) * (0.782 * X1)))) + ((-0.693) * X2))) + sin(sin((0.837 * X1))))))),7.454627660418037
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.87394631963988,(3.651 + ((-3.645) * sin((sin((sin(sin(sin((0.526 * X1)))) + (sin((sin((0.502 * X1)) + ((-0.839) * X2))) + sin((0.517 * X1))))) + sin(sin((0.526 * X1))))))),3.1924568206310733
