Original,R2,Modelo,RMSE
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9972510331104683,((-0.001) + (0.340 * (cos(cos(((cos(cos((0.707 * X2))) * (cos(cos(((-0.605) * X2))) * cos(cos(((-0.605) * X2))))) * cos(cos(((-0.605) * X2)))))) * ((cos(cos(((-0.605) * X2))) - (cos(cos(cos(sin(((-0.602) * X1))))) * (sin(cos(cos(((-0.637) * X2)))) * sin(((-1.448) * X1))))) * (cos((0.338 * X1)) * (cos(cos(((-0.637) * X2))) - (cos(cos(sin(((-0.637) * X2)))) * sin(((-1.436) * X1))))))))),0.2876298139688103
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0,(0.009 + (0.098 * ((sin(((-1.999) * X1)) / (cos(((cos((1.543 * X1)) * (0.707 * X1)) / (sin(sin(((-1.999) * X1))) - (1.543 * X1)))) - sin(sin(sin(sin((0.095 + ((-0.179) * ((-2.023) * X1))))))))) / (1.106 - sin(sin(sin(sin(((0.734 * X1) - cos((((-1.007) + 0.901) - 0.688))))))))))),
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.0,(0.013 + (2.298 * (cos(((1.772 * X1) + (((cos(((-3.308) * X1)) + (cos((1.861 * X1)) + ((1.772 * X1) / ((-1.575) * X1)))) - (2.239 - cos(((-0.822) * X1)))) / (1.631 * X1)))) * (cos((cos((cos(((1.329 * X2) / (1.861 * X1))) + (cos(((-0.822) * X1)) + ((2.548 * X1) / ((-1.575) * X1))))) + ((-0.072) * X2))) + ((-0.139) * X2))))),
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.8524394297619242,(0.494 + ((-0.059) * (((cos(((-1.041) * X5)) + (cos(((-1.031) * X4)) + cos(((-1.029) * X5)))) + cos(((((cos((1.091 * X1)) + cos((1.057 * X4))) + sin(cos((1.091 * X5)))) + sin(cos((1.085 * X3)))) + cos((1.055 * X2))))) + ((cos(((-1.029) * X2)) + sin(((-0.566) * X1))) + ((cos((1.055 * X3)) + sin(((-0.566) * X1))) + (((cos(((-1.041) * X2)) + cos(((-1.029) * X3))) + cos((0.986 * X1))) + cos(((-1.031) * X4)))))))),0.2615637984898387
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),-2.1583115227439422,((-0.003) + (1.636 * ((cos(((-1.580) * X1)) * (cos((1.450 * X3)) - (0.108 * X3))) / (((-1.779) * X2) - ((1.196 / (((-1.403) * X2) - (cos((1.378 * X3)) * cos((1.443 * X3))))) - ((cos((1.409 * X3)) * ((cos((1.378 * X1)) - 0.103) - 0.103)) * (cos((1.443 * X3)) * (cos((1.354 * X1)) - 0.103)))))))),2.0048358534811905
6 * sin(x1) * cos(x2),0.9498885976310542,(0.099 + ((-5.548) * (((sin(((-1.028) * X1)) * cos(((-1.029) * X2))) - ((((((-1.357) * X2) + (cos(((-0.615) * X1)) + sin((1.924 * X2)))) * (0.500 * (sin((1.267 * X2)) - cos((0.152 * X1))))) * (sin(((-0.615) * X1)) + (0.152 * X1))) / (6.161 * X2))) - (((cos((cos(cos(((-1.081) * X2))) * (cos(((-1.988) * X1)) - ((-0.805) * X2)))) * cos((0.707 * X1))) * (0.376 * X2)) / (6.701 * X2))))),4.26144173058066
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9826656287870852,(0.167 + (1.025 * (((2.463 + ((-0.730) * X2)) * ((((0.939 * X1) + (sin(((-0.346) * X1)) + 2.611)) - (((-0.587) * X2) / (0.848 * X1))) + (0.387 * ((cos((((-0.815) * X2) - ((-0.468) * X1))) + cos(((1.526 * X2) - ((-0.518) * X1)))) + ((-0.815) * X2))))) * sin((0.848 * X1))))),7.463976636954143
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.784971391446378,(16.421 + ((-18.678) * cos((sin((1.460 * cos(sin((1.902 + ((((-0.728) - ((-0.544) * X2)) + sin((-0.975))) + ((-1.452) - cos(1.311)))))))) * cos(sin((((-1.452) - cos(1.311)) * ((0.044 * X2) - sin(((-0.520) * X1)))))))))),3.1288183911316714
