Numero_iteracion,Funcion,Funcion_set,Original,Simplificado,RMSE,R2,tiempo
23,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + (3.879 * (((((-0.861) * X1) * (0.223 * X2)) - ((0.000 * X2) * 1.258)) * ((((-0.861) * X1) * (0.822 * X2)) - 1.256)))),0.744779637*X1*X2*(0.707742*X1*X2 + 1.256) + 1.003,0.002798406192846911,,32.47662925720215
3,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + ((-3.777) * ((((0.571 * X2) * (0.434 * X1)) * ((0.435 * X1) * ((-1.295) * X2))) - ((0.571 * X2) * (0.434 * X1))))),0.52726852599435*X1**2*X2**2 + 0.935993478*X1*X2 + 1.003,0.0028049202203403777,,32.660311460494995
27,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.755 + (0.308 * ((0.425 + (((-1.929) * X1) * ((-0.678) * X2))) * (1.899 + (((-1.927) * X1) * ((-0.678) * X2)))))),0.526288701452976*X1**2*X2**2 + 0.935979656304*X1*X2 + 1.0035791,0.0028049997583469953,,31.16478943824768
16,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + ((-1.226) * ((((-1.316) * X1) * (0.580 * X2)) - (((1.130 * X1) * (0.580 * X2)) * ((1.130 * X1) * (0.580 * X2)))))),0.52662727016*X1**2*X2**2 + 0.93578128*X1*X2 + 1.003,0.002805001717846268,,32.67383623123169
5,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + ((-1.632) * (((((-0.063) * X1) * (1.444 * X2)) * ((1.415 * X1) * (2.510 * X2))) - ((1.414 * X1) * (0.406 * X2))))),0.5273003486016*X1**2*X2**2 + 0.936905088*X1*X2 + 1.003,0.0028050365861035584,,33.488649129867554
4,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.222 + (1.550 * ((0.122 + (((-1.370) * X1) * (0.425 * X2))) * ((-1.158) + (((-1.371) * X1) * (0.425 * X2)))))),0.5258569040625*X1**2*X2**2 + 0.9348966825*X1*X2 + 1.0030222,0.0028050523560276424,,33.383503913879395
26,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + (1.052 * ((((0.707 * X2) * (0.796 * X1)) * ((0.751 * X2) * (1.185 * X1))) + ((0.751 * X2) * (1.185 * X1))))),0.52687368581064*X1**2*X2**2 + 0.93621162*X1*X2 + 1.003,0.002805055309482835,,32.66638112068176
21,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(0.928 + (1.677 * ((((1.765 * X1) * (1.413 * X2)) - (-0.212)) * (((0.426 * X1) * (0.295 * X2)) - (-0.213))))),0.52559539228755*X1**2*X2**2 + 0.935518349025*X1*X2 + 1.003726612,0.002805057376945618,,31.370418310165405
17,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + (2.911 * ((((0.318 * X2) * (1.010 * X1)) * ((0.318 * X2) * (1.768 * X1))) + ((0.318 * X2) * (1.010 * X1))))),0.52565412867552*X1**2*X2**2 + 0.93495498*X1*X2 + 1.003,0.0028050675010282806,,31.97704315185547
18,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(1.003 + ((-0.464) * ((((0.204 * X2) * ((-2.755) * X1)) * (((-0.731) * X2) * ((-2.755) * X1))) - (((-0.731) * X2) * ((-2.755) * X1))))),0.5251806680784*X1**2*X2**2 + 0.93445192*X1*X2 + 1.003,0.002805108431936202,,37.66207575798035
1,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(80.007 + ((-79.004) * (cos(((1.045 * X2) * ((-0.111) * X1))) - (((-0.107) * X2) * ((-0.111) * X1))))),0.938330508*X1*X2 - 79.004*cos(0.115995*X1*X2) + 80.007,0.0028179440503006727,,40.47885060310364
7,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(40.144 + ((-39.140) * (((0.263 * X2) * ((-0.091) * X1)) + cos(((0.257 * X2) * ((-0.638) * X1)))))),0.93673762*X1*X2 - 39.14*cos(0.163966*X1*X2) + 40.144,0.0028312784482837686,,40.77990221977234
29,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(17.258 + ((-16.255) * (cos((((-0.461) * X1) * (0.554 * X2))) - ((((-0.588) * X1) * (0.555 * X2)) + ((0.693 * X1) * (0.554 * X2)))))),0.935995409999999*X1*X2 - 16.255*cos(0.255394*X1*X2) + 17.258,0.002869560315144969,,43.42720103263855
19,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(16.823 + ((-16.214) * cos(((((-0.223) * X2) * (1.174 * X1)) - 0.221)))),16.823 - 16.214*cos(0.261802*X1*X2 + 0.221),0.003014129960218049,,46.288185596466064
13,1+n*alpha/(1-(n*alpha/3)),"add,sub,mul,div,sqrt,constant,log,cos,sin,variable",(12.744 + (12.130 * sin((((0.373 * X1) * ((-0.819) * X2)) - 1.825)))),12.744 - 12.13*sin(0.305487*X1*X2 + 1.825),0.003090242705832819,,35.81932187080383
