Original,R2,Modelo
6 * sin(x1) * cos(x2),0.999999730758861,-13.2673096349675*sin(1.0*X1)*cos(1.0*X2)
6 * sin(x1) * cos(x2),0.9999985386871598,-105.616415287605*sin(1.0*X1)*cos(1.0*X2) - 0.001
6 * sin(x1) * cos(x2),0.999998497023872,6.001*sin(1.0*X1)*cos(1.0*X2)*cos(sin(0.009*X2)) + 0.001
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.989184446916858,((-0.75338016*X1*X2 + 2.922504*X1 - 0.2652*X2)*sin(0.862*X1) + 0.74*sin(0.322*X1))/sin(0.322*X1)
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9693949169937606,-0.519219712*(X1 - 0.915441176470588*X2)**2 - 7.018*sin(0.424*X2 - sin(0.77*X1) + exp(-0.336*X1)) + 7.564
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9476882912608174,(4.489254*X2 - 15.425802907916)*sin(0.124*X1 - sin(0.707*X1)) - 0.038
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9466433948208078,11.92*(0.416*X1 - 0.449*X2 + cos(0.416*X1))*sin(cos(exp(0.034225*X1**2))) + 0.659
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9442561094757128,-0.023 + 5.28301886792453*exp(0.467*X1)*sin(0.854*X1)*cos(0.455*X2)/X1
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.9385726814710142,3.234*exp(-sin(0.513*X1) - sin(0.548*X1) + sin(sin(0.727*X2))) - 0.862
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.912828846644237,10.412*sin(exp(-4*sin(0.526*X1))*sin(0.363*X2 + cos(0.464*X1)**2)**4) - 0.064
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.8737882868395969,6.952*(sin(0.523*X1) - cos(0.318*X2 - cos(cos(cos(1.153*X2)))))**2 - 0.24
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.8636698464308699,3.739*((0.145*X2 + cos(0.28*X2))**2 - sin(0.526*X1))**2 - 0.425
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.7921943077850383,5.831*(sin(0.519*X1) - cos(sin(0.253*X2)**4))**2 - 0.189
