Original,R2,Modelo,RMSE,Iteración_independiente
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.9207038229365584,3.789*sin(1.994*X1)*sin(exp(cos(0.367*X1)))**2*cos(0.306*X2) + 0.001,0.2830439965595071,3
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6595415091001768,0.863*sin(0.508*X1)*sin(0.507*X3)*sin(0.508*X4)*sin(0.511*X5) + 0.392,0.108122034826591,3
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7875185302057901,0.402702948*(X1 - 0.970654627539503*X3)**2 - 0.44688*(X1 + 0.919285714285714*X3 - 0.714285714285714*exp(cos(0.138*X1)))**2 + 0.018,0.4093375806877562,3
6 * sin(x1) * cos(x2),0.9992941926319138,3.021*sin(1.005*X1 - 1.004*X2) + 3.021*sin(1.012*X1 + 0.987*X2) - 0.023,0.0797023979202576,3
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9375965858432465,6.478*(0.312*X1 - 0.44*X2 + cos(0.083393*X1*X2))*sin(sin(0.848*X1)) + 0.584,1.323722480233474,3
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.5686057154678226,6.597*exp(-0.007695*X1*X2 - 0.045*X1*sin(exp(1.414*X2)) - sin(0.545*X1)) - 2.667,1.6681127879311717,3
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9472987781029452,0.021*exp(exp(sin(0.627*X2)) + sin(1.482*X1)) - 0.072,0.0467445676069712,4
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.8735759790876513,-0.259*sin(2.031*X1) + 0.259*sin(2.826*X1) - 0.259*sin(0.000937890625*X1**4) - 0.259*cos(1.503*X1) + 0.074,0.1077051384142975,4
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),-1.965049070085723,5.566*sin(1.989*X1)*sin(5.229*X2/sin(cos(0.011*X1))) + 0.018,1.7307855120325444,4
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.659502629152728,0.863*sin(0.508*X1)*sin(0.506*X3)*sin(0.507*X4)*sin(0.511*X5) + 0.392,0.108128571934343,4
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.9600979117413264,-0.003 - 4.34603401994842*cos(1.552*X3)*cos(exp(0.445*X1))/(0.0486366985998526*X1 + X2)**2,0.1773856403202185,4
6 * sin(x1) * cos(x2),0.999996490268106,2.586*exp(sin(cos(0.002209*X2**2)))*sin(1.0*X1)*cos(1.0*X2) + 0.001,0.0056196695692099,4
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.8565089464861615,(-0.18536189*X1**2 + 0.512425*X2)*(0.573*X1 - 0.822*X2 + cos(1.356*X1)) + 3.18,2.0072686991850746,4
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.4585124517968127,0.282*exp(exp(cos(1.054*X1))) - 0.5,1.868887649287556,4
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.947562487819046,0.021*exp(exp(sin(0.627*X2)) + sin(1.48*X1)) - 0.072,0.0466289366621721,5
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.8868249069724534,0.299*sin(1.28*X1)*cos(1.607*X1) - 0.299*sin(2.069*X1) - 0.299*cos(1.482*X1) + 0.128,0.1019051162136133,5
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),-0.0253437039026089,0.963*sin(1.957*X1 - 0.215*X2*exp(0.252*X2) + 0.51*X2) + 0.005,1.017799280818804,5
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6110892008466091,-0.113*cos(1.04*X1) - 0.113*cos(1.028*X3) - 0.113*cos(1.04*X4) - 0.113*cos(1.025*X5) + 0.546,0.1155596271860952,5
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.543730967062372,-(0.093492*X2 + 0.294*sin(1.6*X1) + 0.778*cos(1.595*X1 + 1.534*X3))/(0.318*X2 + sin(1.6*X1)),0.5998366979093491,5
6 * sin(x1) * cos(x2),0.999999730758861,-13.2673096349675*sin(1.0*X1)*cos(1.0*X2),0.0015580230594567,5
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9442561094757128,-0.023 + 5.28301886792453*exp(0.467*X1)*sin(0.854*X1)*cos(0.455*X2)/X1,1.251101786463421,5
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.7742898789680287,0.174*exp(exp(cos(1.044*X1)) + sin(0.692*X2)) - 0.582,1.2066006225772568,5
