Original,R2,Modelo,RMSE
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0,((-0.080) + (0.119 * exp((sin(((0.932 * X2) + sin(((0.691 * X2) / ((-0.794) * X2))))) + sin((1.478 * X1)))))),
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.8140051221880303,-0.266*sin(0.3*X1) - 0.266*sin(2.025*X1) - 0.266*cos(1.473*X1) + 0.133*cos(2.474*X1) + 0.216,0.13063814288163111
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.9418642486601592,4.595*sin(0.46*X1)**2*sin(1.991*X1)*cos(0.159*X1)*cos(0.305*X2) + 0.002,0.24235355365721137
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6111182829842535,-0.113*cos(1.04*X1) - 0.113*cos(1.028*X3) - 0.113*cos(1.04*X4) - 0.113*cos(1.025*X5) + 0.546,0.1155558762742309
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.9279562517012527,-0.002 - 0.182*cos(1.575*X1)*cos(1.546*X3)*cos(sin(1.639*X1))/sin(0.281*X2)**2,0.23835118794933707
6 * sin(x1) * cos(x2),0.9999980255109985,3.001*sin(1.0*X1 - 1.0*X2) + 3.001*sin(1.0*X1 + 0.999*X2) - 0.001,0.004215102520770904
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.921928555001088,(12.5832998137803 - 3.655313*X2)*sin(0.843*X1 - 0.057*X2*sin(0.82*X2)) - 0.259,1.480606415832181
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.4434363106416944,7.076*cos(sin(0.517*X1))*cos(sin(sin(1.064*X1))) - 3.439,1.8947227646429674
