Original,R2,Modelo,RMSE
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9470953025256291,0.021*exp(exp(sin(0.627*X2)) + sin(1.482*X1)) - 0.072,0.046836184361863646
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.7975281884703807,-0.215*sin(1.871*X1) - 0.215*sin(2.095*X1) + 0.215*sin(2.811*X1) + 0.215*sin(sin(1.102*X1)) - 0.003,0.13630488706167807
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.3192159430827535,1.525*sin(0.081*X1 + 0.228*X2 + sin(1.978*X1)) - 0.851,0.8293387825481973
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6594335573135528,0.863*sin(0.509*X1)*sin(0.507*X3)*sin(0.508*X4)*sin(0.511*X5) + 0.392,0.10813915246592368
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7698688294570712,0.443390024*(0.947004608294931*X1 - X3)**2 + 2.354*cos(0.552*X1 - cos(0.871*X3)) - 2.378,0.42600056583057466
6 * sin(x1) * cos(x2),0.8748388564495355,0.172 + 17.591*exp(-exp(exp(-1.398*X1)))*cos(0.145161*X1**2)*cos(1.005*X2),1.0613379255818844
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9324544301270562,-9.383*(0.063*X1 - sin(0.794*X1))*cos(0.453*X2) - 0.015,1.377182675774482
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.5023366113639232,0.373*exp(exp(cos(0.998*X1 + 0.0446*X2**2))) - 0.681,1.7916619922185373
