Original,R2,Modelo,RMSE
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9527715784291344,0.022*exp(exp(cos(cos(0.628*X2))) + sin(1.474*X1)) - 0.091,0.044250393115944794
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9535755351716684,-0.46*(sin(2.059*X1) + cos(1.547*X1 - exp(-0.385*X1)))*sin(0.473*X1)**2 + 0.022,0.06526504438552767
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.25521907397663546,0.822*cos(0.047961*X1**2 + 1.464*X1 - 0.377*X2) - 0.006,0.8674442796167939
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6111073728361143,-0.113*cos(1.04*X1) - 0.113*cos(1.028*X3) - 0.113*cos(1.04*X4) - 0.113*cos(1.024*X5) + 0.546,0.11555692526543576
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.8964815932201088,(-0.005*X2 + (2.33318918918919*X1 - 1.95515695067265*exp(0.153*X1))*cos(1.553*X3))/X2,0.28571268396312616
6 * sin(x1) * cos(x2),0.5102781321179011,4.556*sin(0.756*X1 + 1.144*X2 + sin(1.828*X1)) + 0.485,2.0993937213561638
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9417765472941766,7.96*exp(0.1*X1)*sin(0.848*X1)*cos(0.459*X2)*cos(sin(sin(0.445*X2))) - 0.035,1.2786234251272632
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.5343084159621787,0.865*exp(sin(0.645*X2) + cos(1.037*X1 + 0.0534351145038168*X2/X1)) - 0.947,1.7331565945156426
