Original,R2,Modelo,RMSE
q * Cain / (q + k1),0.9999985107863965,(0.000 + ((-0.086) * ((((((1.163 * (1.019 * 0.115)) + sin((0.150 * X1))) + sin(sin(sin(sin((0.318 * X1)))))) + ((0.318 * X1) + ((sin(sin((-0.001))) / (0.146 / 0.651)) + sin(sin(sin((0.536 * X1))))))) + ((0.318 * X1) + sin(sin(sin(sin(sin((0.536 * X1)))))))) * ((-1.162) * X2)))),0.5224490739598457
k1 * q * Cain / ((q + k1) * (q + k2)),0.9999260263284654,(0.006 + ((-0.127) * (sin(((0.288 * X1) + sin((sin(cos((0.288 * X1))) + sin(cos((0.103 * X1))))))) * ((((-1.081) * X2) + 0.035) * ((0.286 * X1) + sin(((0.304 * X1) + sin(((0.286 * X1) + sin((0.809 * X1))))))))))),0.2693403128546765
k2 * k1 * q * Cain / ((q + k1) * (q + k2) * (q + k3)),0.9995832129207071,((-0.046) + (0.095 * ((sin(cos(((0.244 * X1) / (cos(sin((0.766 * X1))) - (((-0.018) / (0.266 * X2)) / (0.613 * X1)))))) - (cos(cos(sin((0.789 * X1)))) / (1.772 * X1))) - ((((-0.018) / (0.244 * X1)) / cos(sin(sin(cos(((0.212 * X1) / (0.266 * X2))))))) + ((((-1.249) * X2) * cos((cos(sin((0.789 * X1))) - (((-0.018) / (0.182 * X1)) / (1.320 * X1))))) + ((-0.788) * X2)))))),0.18623096298447162
k3 * k2 * k1 * Cain / ((q + k1) * (q + k2) * (q + k3) * q),0.9999772512373978,((-0.000) + (0.164 * ((((((-0.289) * X2) / (0.318 * X1)) - (((0.135 * X2) / ((-0.958) * X1)) / (0.724 * X1))) / ((-0.256) * X1)) - ((((-0.074) * X2) / ((1.443 * X2) / (((((-0.289) * X2) - ((0.135 * X2) / ((-0.597) * X1))) - (((0.135 * X2) / ((-0.597) * X1)) / (0.318 * X1))) / ((-1.385) * X1)))) / ((((((0.318 / ((-0.951) * X1)) / (1.115 * X1)) / (1.115 * X1)) - ((0.324 * X1) / ((3.142 / (0.549 * X1)) + (0.136 * X1)))) / (2.228 * X1)) / (0.549 * X1)))))),0.3419035581190318
