Original,R2,Modelo,RMSE
q * Cain / (q + k1),0.9999939012463286,(0.002 + ((-0.104) * ((((((((0.226 * X1) * cos(((-1.307) * X1))) + ((-1.626) * X2)) * (2.536 * X2)) + ((-0.176) * X2)) - (((sin((1.565 * X1)) * (2.536 * X2)) * ((0.434 * X1) * cos((1.414 * X1)))) - (((0.232 * X1) * cos((2.311 * X1))) - ((0.298 * X2) * cos((7.163 * X1)))))) / ((6.283 * X1) * ((((-0.365) * X1) * (2.536 * X2)) + ((-1.637) * X2)))) - (((1.443 * X2) - ((0.221 * X2) * cos(((-1.307) * X1)))) - (((-0.365) * X1) * (2.536 * X2)))))),0.5223912792601442
k1 * q * Cain / ((q + k1) * (q + k2)),0.999969663433978,((-0.000) + (0.055 * ((0.595 * X2) + (sin((((-1.270) * ((-0.056) * X1)) + (((((-1.286) * ((-0.056) * X1)) * ((-0.438) * X1)) * 0.038) + (((-1.286) * ((-0.056) * X1)) + sin(sin((0.514 * X1))))))) * (3.904 * X2))))),0.2691907326122279
k2 * k1 * q * Cain / ((q + k1) * (q + k2) * (q + k3)),0.9991003713275712,((-0.072) + (0.069 * (((cos((1.634 * X1)) - ((sin((0.291 * 2.487)) - (((-0.525) * X2) / (-1.522))) / (sin(sin(sin((0.673 * X1)))) * (sin((((-1.226) * X1) * (-0.662))) + (sin((1.634 * X1)) + sin((0.693 * X1))))))) / (sin(sin(sin(sin((0.693 * X1))))) * (((-1.536) * X1) + (-1.113)))) + ((sin(sin(sin(sin(sin((0.693 * X1)))))) - ((-1.269) * X2)) - ((-1.269) * X2))))),0.18578256344298166
k3 * k2 * k1 * Cain / ((q + k1) * (q + k2) * (q + k3) * q),0.9999752612324421,(0.003 + ((-3.141) * (((((-0.185) * X2) / ((((cos((1.682 * X1)) - ((-1.939) * X1)) - (cos(((-1.742) * X1)) - sin((2.718 * X1)))) - cos((1.310 * X1))) - ((-2.003) * X1))) / ((-1.048) * X1)) + ((1.575 * X2) / (((cos((1.682 * X1)) - ((-2.939) * X1)) - ((-1.874) * X1)) * ((-1.742) * X1)))))),0.3419444280181924
