Original,R2,Modelo,RMSE
q * Cain / (q + k1),0.9999966103541384,(0.272 + ((-0.103) * ((((((-0.062) * X2) + (((0.256 * X2) * (0.307 * X1)) - ((0.256 * X2) * (0.354 * X1)))) + 2.644) * cos(sin(sin(((((0.256 * X2) * (0.347 * X1)) * (0.347 * X1)) - ((0.256 * X2) * (0.347 * X1))))))) - (((0.256 * X2) * (0.347 * X1)) - (((((-2.557) * X2) * ((-0.503) * X1)) / ((-0.766) - (0.242 * X1))) - ((((((-0.830) * X2) + ((0.256 * X2) * (0.347 * X1))) * ((-2.160) * X1)) / 1.606) / 1.626)))))),0.5223338709811327
k1 * q * Cain / ((q + k1) * (q + k2)),0.9998023921332941,(0.048 + ((-0.024) * ((((((-0.789) * X2) + (0.434 * X2)) + (((0.239 * X2) + ((0.434 * X2) * (0.434 * X2))) / ((((0.434 * X2) + 0.015) + 0.015) * (0.347 * X1)))) + ((1.546 + ((((0.434 * X2) + (0.279 * X2)) * (0.347 * X1)) * (0.347 * X1))) * (0.347 * X1))) + (((((0.408 * X2) * (0.331 * X1)) * (0.347 * X1)) + (((0.279 * X2) + ((0.253 * X2) * (0.347 * X1))) / (-0.048))) + (((0.298 * X2) * (0.298 * X2)) * cos(((-1.613) * X1))))))),0.2696437009458502
k2 * k1 * q * Cain / ((q + k1) * (q + k2) * (q + k3)),0.9999390825981613,(0.003 + (0.048 * ((((((0.881 * X2) + (0.389 * (0.101 * X2))) + (((-0.183) * (0.096 * X2)) / ((-0.648) * X1))) + ((0.101 * X2) / ((0.011 * X1) - (((0.331 * (0.101 * X2)) / ((-0.630) * X1)) / (1.659 * X2))))) - (((0.011 * X1) - ((sin((1.414 * X1)) * (0.101 * X2)) / (2.303 * X2))) + (1.443 * (0.011 * X1)))) - ((((-0.331) * X2) - ((sin(sin((1.482 * X1))) * (0.101 * X2)) / sin((0.235 * X2)))) * (-0.217))))),0.18565136397219295
k3 * k2 * k1 * Cain / ((q + k1) * (q + k2) * (q + k3) * q),0.9999738352136044,((-0.000) + (2.619 * ((((cos((cos((2.303 * X1)) / ((-0.848) / (1.120 * X1)))) * (((0.018 * X2) / ((-0.923) * X1)) / ((-0.865) * X1))) / ((-0.835) * X1)) + ((((((-0.535) * X1) / ((-0.987) * X2)) * (0.422 * X1)) / ((((-0.535) * X1) / ((-1.398) * X2)) / ((0.018 * X2) / sin(sin((-0.848)))))) + (((-1.398) * X2) / ((-1.907) * X1)))) / ((cos(((0.018 * X2) * ((cos((6.283 * X1)) / cos(((-0.835) * X1))) / ((-0.796) * X2)))) - ((-1.426) * X1)) - ((-1.456) * X1))))),0.3418563460732462
