Original,R2,Modelo,RMSE
2 * Cain / (1 + exp(-5.7 * t)),0.9999994022079997,0.738144*X1*exp(cos(0.02*X2))*cos(0.2710027100271*exp(-0.976*X2)/X2),0.0016430872458715706
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999836458065774,0.21552*X1 - 0.0446254218222722*X1*exp(-2.5992*X2**2)/X2,0.0008573203283874568
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.999544398143871,0.185941*X1 - 0.009994*X1/sin(sin(0.627*X2)**2) - 0.001,0.004078354361887318
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9994020846924139,((0.763623*X2*exp(2.214*X2) - 0.651)*exp(cos(0.437*X2))*sin(0.086*X1) - 0.002*exp(2.214*X2))*exp(-2.214*X2),0.0057518697297522636
