Original,R2,Modelo,RMSE,Iteración_independiente
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.998094429468306,0.114114*X1*sin(0.16184*X2**2 + exp(cos(0.948*X2)))**2 + 0.06006*X1 - 0.001,0.0083201318267734,6
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.999156624417827,0.272952*X1*sin(0.541*X2) - 0.017748*X1*sin(3.042*X2) - 0.002,0.0068254949235018,6
2 * Cain / (1 + exp(-5.7 * t)),0.9999994022079997,0.738144*X1*exp(cos(0.02*X2))*cos(0.2710027100271*exp(-0.976*X2)/X2),0.0016430872458715,7
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999836458065774,0.21552*X1 - 0.0446254218222722*X1*exp(-2.5992*X2**2)/X2,0.0008573203283874,7
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.999544398143871,0.185941*X1 - 0.009994*X1/sin(sin(0.627*X2)**2) - 0.001,0.0040783543618873,7
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.999402084692414,((0.763623*X2*exp(2.214*X2) - 0.651)*exp(cos(0.437*X2))*sin(0.086*X1) - 0.002*exp(2.214*X2))*exp(-2.214*X2),0.0057518697297522,7
2 * Cain / (1 + exp(-5.7 * t)),0.9999990113784784,2.000377*X1 - 0.0085023846648861*X1/X2**4 + 0.001,0.0021175199497984,8
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999613046695337,X1*(X2*(0.257004 - 0.010121096*X2) - 0.0377231968810916)/X2,0.0042108562170549,8
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9999571497223196,0.173019*X1 - 0.0616478646253022*X1/(X2*(0.045796*X2**2 - exp(0.743044*X2**2))**2),0.0012459279037975,8
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9993822891615892,0.337444*X1*sin(cos(exp(-0.843*X2)) - exp(-0.784*X2)) + 0.058*sin(0.885*X2) - 0.046,0.0058497017963756,8
2 * Cain / (1 + exp(-5.7 * t)),0.9999568882032628,1.992672*X1 + 0.135864*X2 + 7.548*cos(0.094*X2) - 7.548*cos(0.004225*X2**2) - 0.131,0.0139393493516609,9
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999533442666028,0.217306*X1 - 0.00627001852282567*X1/X2**3,0.0014720725932983,9
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9995063841177232,0.023688*X1*exp(2*cos(exp(-1.18105*X2**2))) - 0.001,0.0042248079551681,9
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9997013823805694,0.205501296*X1*X2*(sin(0.13*X2) + sin(0.236*X2))*exp(cos(0.878*X2)) - 0.001,0.004063291753618,9
2 * Cain / (1 + exp(-5.7 * t)),0.9999991559591096,2.00161*X1 - 0.00888070054116634*X1/X2**4 + 0.001,0.0019569193597273,10
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.99997669575812,X1*(X2**3*(0.003436*cos(0.387*X2) + 0.21475) - 0.00704016902437747)/X2**3,0.0010361728143707,10
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.999563432380864,X1*(X2*(0.251348 - 0.019050864*X2) - 0.0760112994350283)/X2,0.0039772277958725,10
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9994352968687056,(0.28*X1*(1.42*X2 - 0.480836236933798)*sin(sin(sin(0.662*X2))) + 0.002*X2)/X2,0.0055853679103748,10
2 * Cain / (1 + exp(-5.7 * t)),0.9999990057916875,2.000448*X1 - 0.00839432649194554*X1/X2**4 + 0.001,0.0021212999540683,11
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999787484797746,0.216795*X1 - 0.374735*X1*exp(-4.266*X2),0.0009889379911912,11
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9988136332612552,0.178339*X1 - 1.81321410829608*sin(0.013*X1)/X2**2,0.0065702073382214,11
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9982601552850616,0.181573944*X1*X2*cos(0.33*X2) - 0.043462*X1 - 0.031*cos(2.51*X2) + 0.007,0.0097964983547226,11
2 * Cain / (1 + exp(-5.7 * t)),0.9999933206013188,2.009016*X1 + 3.144*cos(0.0438083045942742*X1/X2**2) - 3.17 + 0.00652282157676349*X2/X1,0.0054978202361964,12
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999952707472538,0.216496*X1 - 0.425936*X1*exp(-4.47*X2),0.0004795844018314,12
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9995122548548712,X1*(0.184272*X2 - 0.0211823008849558/sin(0.85*X2))/X2,0.00420757138775,12
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9988803056104512,0.39798*X1*sin(sin(0.629*X2)) - 0.081*X1 + 0.004,0.0078660015891637,12
2 * Cain / (1 + exp(-5.7 * t)),0.9999823254565456,1.995664*X1 - 0.001233283*X2**2 + 0.019 - 0.667*exp(-3.16*X2),0.0089142461543946,13
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999602811956394,0.216596*X1 - 0.35056*X1*exp(-4.173*X2),0.0013554780700137,13
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9992880208473256,0.17472*X1 - 0.0336201591646684*X1*exp(-0.635*X2)/X2**2,0.0050907401334197,13
