Original,R2,Modelo,RMSE
2 * Cain / (1 + exp(-5.7 * t)),0.9999976376960048,2.001*X1 - 0.001 - 1.74*exp(-3.611*X2) + 1.74*exp(-2.867*X2)/(2.187*X1 + cos(1.396*X1)),0.0032628235733506384
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999765666145087,X1*(0.217427 - 8.7948e-5*X1)*exp(-exp(-2.342*X2*exp(0.523*X2))),0.0010377839706618283
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9997727143215948,0.172508*X1*exp(-exp(-2.466464*X2**2 + exp(-5.218*X2)*cos(0.327*X2))),0.0028611772232791668
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.995808761066796,0.229*X1*(0.094*X1 - 1.359*X2)*(0.1617*X2 - 0.781) - 0.034,0.015209203867561966
